Instacart Product,Matched Product,Similarity Score
soda,soda,100.0
shaved parmesan cheese,parmesan cheese,81.08108108108108
turkey,turkey,100.0
whole wheat spanakopita,whole wheat pasta,80.0
dark chocolate raisins,extra dark chocolate,80.95238095238095
whole wheat fig bar,whole wheat rice,80.0
whole wheat loaves,whole wheat pasta,80.0
low fat cottage cheese,cottage cheeselow fat yogurt,80.0
cauliflower head,cauliflower,81.4814814814815
chocolate cookies,chocolatecookies,96.96969696969697
panama extra dark chocolate,extra dark chocolate,85.1063829787234
champagne,champagne,100.0
chocolate protein plus smoothie,chocolatefrozen smoothie,80.0
chocolate soy,chocolatesoup,84.61538461538461
green bananas,green beans,83.33333333333334
peppermint,herb  peppermint,80.0
100 tomato juice,tomato juice,85.71428571428572
mayonnaise,mayonnaise,100.0
mango sparkling water,sparkling water,83.33333333333334
sparkling spring water,sparkling water,81.08108108108108
lean ground beef,ground beef,81.4814814814815
mushroom alfredo sauce,mushroom cream sauce,80.95238095238095
organic dark chocolate,extra dark chocolate,80.95238095238095
chocolate chip pancakes,chocolatepancakes,85.0
chocolate creme cookies,chocolatecookies,82.05128205128204
nonfat cottage cheese,cottage cheese,80.0
mint,mint,100.0
wild blueberries,blueberries,81.4814814814815
whole wheat cereal,whole wheat rice,82.35294117647058
cool mint chocolate,chocolatemint,81.25
chicken parmesan,parmesan cheesechicken,84.21052631578947
sparkling water orange,ricesparkling water,82.92682926829268
diet green tea,mintgreen tea,81.4814814814815
eggs,eggs,100.0
blueberries,blueberries,100.0
sparkling water,sparkling water,100.0
frozen mixed vegetables,frozen vegetables,85.0
spicy barbecue sauce,barbecue sauce,82.35294117647058
strawberry,strawberries,81.81818181818181
cream of mushroom soup,mushroom cream sauce,80.95238095238095
butter,butter,100.0
cream of mushroom soup,mushroom cream sauce,80.95238095238095
cauliflower,cauliflower,100.0
white whole wheat flour,whole weat flour,82.05128205128204
extreme dark chocolate,extra dark chocolate,90.47619047619048
fresh frozen strawberries,french friesstrawberries,81.63265306122449
yams,yams,100.0
milk chocolate,chocolatemilk,96.2962962962963
oat bran gluten free,gluten free bar,80.0
low fat plain yogurt,low fat yogurt,82.35294117647058
chocolate chip energy bars,energy barcakechocolate,81.63265306122449
french fries,french fries,100.0
green tea,green tea,100.0
whole wheat pastry flour,whole weat flour,80.0
