Items, Size, Frequency, Support, Score
Banana, 1, 527515, 0.12138135649185411, 1.0
Bag of Organic Bananas, 1, 394930, 0.09087350903638369, 1.0
Organic Strawberries, 1, 275577, 0.06341034866867422, 1.0
Organic Baby Spinach, 1, 251705, 0.05791739445472098, 1.0
Organic Hass Avocado, 1, 220877, 0.05082386259699015, 1.0
Organic Avocado, 1, 184224, 0.042389996527786564, 1.0
Large Lemon, 1, 160792, 0.03699828644311196, 1.0
Strawberries, 1, 149445, 0.03438733840919241, 1.0
Limes, 1, 146660, 0.033746509090917455, 1.0
Organic Whole Milk, 1, 142813, 0.032861313260610904, 1.0
Organic Raspberries, 1, 142603, 0.03281299219890974, 1.0
Organic Yellow Onion, 1, 117716, 0.02708648618673421, 1.0
Organic Garlic, 1, 113936, 0.026216707076113264, 1.0
Carrots, 1, 111395, 0.025632022229529185, 1.0
Organic Zucchini, 1, 109412, 0.02517573334689391, 1.0
Organic Blueberries, 1, 105026, 0.024166513458221035, 1.0
Cucumber Kirby, 1, 99728, 0.02294744210158882, 1.0
Organic Fuji Apple, 1, 92889, 0.021373786192187588, 1.0
Organic Lemon, 1, 91251, 0.020996881910918513, 1.0
Organic Grape Tomatoes, 1, 88078, 0.02026677367864331, 1.0
Apple Honeycrisp Organic, 1, 87272, 0.020081312841828368, 1.0
Seedless Red Grapes, 1, 86748, 0.019960740287869275, 1.0
Organic Cucumber, 1, 85005, 0.019559675475749615, 1.0
Honeycrisp Apple, 1, 83320, 0.01917195648067123, 1.0
Organic Baby Carrots, 1, 80493, 0.01852146295005604, 1.0
Sparkling Water Grapefruit, 1, 79245, 0.01823429778337484, 1.0
Organic Half & Half, 1, 79006, 0.01817930381315304, 1.0
Organic Large Extra Fancy Fuji Apple, 1, 78056, 0.017960708534028726, 1.0
Yellow Onions, 1, 76929, 0.01770138550289915, 1.0
Organic Baby Arugula, 1, 75752, 0.01743055745707882, 1.0
Organic Gala Apples, 1, 75655, 0.017408237728578756, 1.0
Fresh Cauliflower, 1, 74235, 0.017081495311361362, 1.0
Original Hummus, 1, 74172, 0.017066998992851013, 1.0
Soda, 1, 73622, 0.01694044383125273, 1.0
Organic Cilantro, 1, 73050, 0.01680882646319051, 1.0
Half & Half, 1, 71641, 0.016484615149205083, 1.0
Asparagus, 1, 71151, 0.016371866005235703, 1.0
