Premises, Premises Frequency, Conclusion, Conclusion Frequency, Premise and Conclusion Frequency, Support, Confidence, Laplace, Gain, Ps, Lift, Conviction
Banana, 527515.0, Orange Juice, 17568.0, 5033.0, 0.001158094778771223, 0.009540960920542544, 0.8927900298885019, -0.241604618204937, 6.674225451695177E-4, 2.3602207328309643, 1.0055515258499836
Banana, 527515.0, Organic Strawberries, Cucumber Kirby, 12261.0, 5034.0, 0.001158324879065038, 0.009542856601234087, 0.8927902350821163, -0.2416043881046432, 8.158765493638479E-4, 3.3824807382642414, 1.0067863581413552
Banana, 527515.0, Organic Red Radish, Bunch, 28267.0, 5035.0, 0.0011585549793588531, 0.009544752281925632, 0.892790440275731, -0.24160415800434937, 3.6906089766375956E-4, 1.4674650592330756, 1.0030698078319644
Banana, 527515.0, Organic Avocado, Honeycrisp Apple, 11609.0, 5042.0, 0.0011601656814155586, 0.009558022046766443, 0.8927918766310327, -0.24160254730229266, 8.359276372510438E-4, 3.5781294092278175, 1.0069532470242215
Banana, 527515.0, Salted Butter, 19971.0, 5059.0, 0.0011640773864104146, 0.009590248618522696, 0.8927953649224798, -0.2415986355972978, 6.062896372494596E-4, 2.086954021778827, 1.0050432819787718
Banana, 527515.0, Organic Romaine, 24794.0, 5060.0, 0.0011643074867042297, 0.00959214429921424, 0.8927955701160943, -0.24159840549700398, 4.7181389836630373E-4, 1.681326017037527, 1.0039246837471953
Banana, 527515.0, Organic Baby Spinach, Organic Whole Milk, 17619.0, 5060.0, 0.0011643074867042297, 0.00959214429921424, 0.8927955701160943, -0.24159840549700398, 6.722108289271096E-4, 2.3660138070508228, 1.0055916430696807
Banana, 527515.0, Large Lemon, Strawberries, 12064.0, 5110.0, 0.001175812501394983, 0.009686928333791455, 0.8928058297968213, -0.24158690048231324, 8.388663591949049E-4, 3.489615562052606, 1.0069785995832397
Banana, 527515.0, Organic Coconut Milk, 28300.0, 5119.0, 0.0011778834040393187, 0.009703989460015355, 0.8928076765393521, -0.2415848295796689, 3.874676361130743E-4, 1.4902073716591517, 1.0032234312882957
Banana, 527515.0, Organic Carrot Bunch, 37562.0, 5140.0, 0.001182715510209435, 0.009743798754537786, 0.8928119856052575, -0.2415799974734988, 1.3361314007354834E-4, 1.1273594873837163, 1.0011116027517646
Banana, 527515.0, Baby Spinach, 24276.0, 5205.0, 0.0011976720293074142, 0.009867017999488166, 0.8928253231902025, -0.24156504095440082, 5.196461218099758E-4, 1.766410421878959, 1.004323765943221
Banana, 527515.0, Organic Baby Broccoli, 33143.0, 5221.0, 0.0012013536340084552, 0.009897348890552875, 0.8928286062880352, -0.24156135934969977, 2.756734291893909E-4, 1.2978063350109932, 1.0022938377653017
Banana, 527515.0, Fresh Ginger Root, 25414.0, 5295.0, 0.00121838105575077, 0.010037629261727155, 0.8928437906155109, -0.24154433192795743, 5.085709382215271E-4, 1.7164887138997071, 1.0042323430855118
Banana, 527515.0, Icelandic Style Skyr Blueberry Non-fat Yogurt, 19962.0, 5296.0, 0.0012186111560445851, 0.0100395249424187, 0.8928439958091255, -0.24154410182766364, 6.610747758557621E-4, 2.1857069768826087, 1.0055014952763297
Banana, 527515.0, Large Yellow Flesh Nectarine, 15592.0, 5299.0, 0.0012193014569260303, 0.010045211984493332, 0.8928446113899691, -0.2415434115267822, 7.838186776501998E-4, 2.799884438492887, 1.0065230132542453
Banana, 527515.0, Organic Roma Tomato, 30517.0, 5342.0, 0.0012291957695600782, 0.010126726254229737, 0.8928534347153942, -0.24153351721414815, 3.768594448319792E-4, 1.4421487550142837, 1.0031365182495804
Banana, 527515.0, Organic Avocado, Organic Whole Milk, 13572.0, 5376.0, 0.0012370191795497904, 0.010191179397742244, 0.8928604112982887, -0.24152569380415842, 8.579547695747024E-4, 3.2633482516364096, 1.0071410337662816
Banana, 527515.0, Original No Pulp 100% Florida Orange Juice, 20164.0, 5386.0, 0.0012393201824879411, 0.010210136204657688, 0.892862463234434, -0.2415233928012203, 6.761419653690438E-4, 2.2005825950230204, 1.005627855046738
Banana, 527515.0, Organic Bread with 21 Whole Grains, 23944.0, 5393.0, 0.0012409308845446464, 0.010223405969498498, 0.8928638995897359, -0.24152178209916358, 5.721776991303002E-4, 1.8555887457579592, 1.004762574264557
Banana, 527515.0, Organic Russet Potato, 33708.0, 5412.0, 0.0012453027901271328, 0.01025942390263784, 0.892867798268412, -0.24151741019358108, 3.038421998353361E-4, 1.322734911018594, 1.00252915082919
Banana, 527515.0, Organic Spring Mix, 33130.0, 5423.0, 0.0012478338933590983, 0.010280276390244827, 0.8928700553981719, -0.24151487909034913, 3.225167770553359E-4, 1.3485472940818923, 1.0026846526271709
Banana, 527515.0, Cherubs Heavenly Salad Tomatoes, 22576.0, 5479.0, 0.0012607195098127421, 0.01038643450897131, 0.892881546240586, -0.24150199347389548, 6.301744081624632E-4, 1.999412106307946, 1.005246179374296
Banana, 527515.0, Organic Roasted Turkey Breast, 29507.0, 5503.0, 0.0012662419168643036, 0.010431930845568373, 0.8928864708873351, -0.2414964710668439, 4.42114776786576E-4, 1.536464284800617, 1.003680758898253
Banana, 527515.0, Total 2% Greek Strained Yogurt with Cherry 5.3 oz, 18692.0, 5529.0, 0.0012722245245034953, 0.010481218543548524, 0.8928918059213131, -0.24149048845920473, 7.501590992710797E-4, 2.4369063014221264, 1.0062456458304518
Banana, 527515.0, Organic Avocado, Strawberries, 13321.0, 5557.0, 0.001278667332730317, 0.010534297602911765, 0.8928975513425201, -0.2414840456509779, 9.066133240891333E-4, 3.4367788090773916, 1.0075486513285974
Banana, 527515.0, Large Lemon, Cucumber Kirby, 14881.0, 5578.0, 0.0012834994389004336, 0.010574106897434196, 0.8929018604084255, -0.24147921354480778, 8.678748084230328E-4, 3.0881216963156435, 1.007226397120811
Banana, 527515.0, Organic Broccoli Florets, 34248.0, 5610.0, 0.0012908626483025157, 0.010634768679563615, 0.8929084266040908, -0.2414718503354057, 3.343199196827976E-4, 1.349508610206277, 1.0027838999489695
Banana, 527515.0, Organic Strawberries, Limes, 19816.0, 5626.0, 0.0012945442530035566, 0.010665099570628323, 0.8929117097019232, -0.24146816873070467, 7.410856361404309E-4, 2.33900821770692, 1.0061712491348878
Banana, 527515.0, Unsweetened Vanilla Almond Milk, 27555.0, 5627.0, 0.0012947743532973717, 0.010666995251319868, 0.8929119148955379, -0.24146793863041086, 5.251663502865001E-4, 1.682381612758621, 1.0043732308883648
Banana, 527515.0, Shredded Mozzarella, 22943.0, 5628.0, 0.0012950044535911867, 0.010668890932011413, 0.8929121200891523, -0.24146770853011704, 6.542090838550799E-4, 2.020932913614056, 1.0054478221109309
Banana, 527515.0, Italian Sparkling Mineral Water, 32069.0, 5681.0, 0.0013071997691633853, 0.01076936200866326, 0.892922995350723, -0.24145551321454484, 4.115162616854089E-4, 1.459443830605006, 1.0034271842744296
Banana, 527515.0, Frozen Organic Wild Blueberries, 30970.0, 5696.0, 0.0013106512735706112, 0.010797797219036426, 0.892926073254941, -0.2414520617101376, 4.4566271057853383E-4, 1.5152238187253533, 1.0037116689684493
Banana, 527515.0, Boneless Skinless Chicken Breast, 23533.0, 5702.0, 0.0013120318753335016, 0.010809171303185691, 0.8929273044166283, -0.24145068110837473, 6.547578729798511E-4, 1.9961718714496706, 1.0054531652865628
Banana, 527515.0, XL Emerald White Seedless Grapes, 16375.0, 5778.0, 0.0013295194976634466, 0.01095324303574306, 0.8929428991313333, -0.24143319348604478, 8.721676178121303E-4, 2.9069947150882363, 1.0072649252160493
Banana, 527515.0, Lightly Salted Baked Snap Pea Crisps, 25941.0, 5789.0, 0.0013320506008954122, 0.010974095523350047, 0.8929451562610932, -0.2414306623828128, 6.075214335535498E-4, 1.8385051436678692, 1.005060599301635
